id,gender,masterCategory,subCategory,articleType,baseColour,season,production_year,usage,productDisplayName,Size,Made In,Quantity,Image2,Image,price,rating,Material,productDisplayNameOrg,baseColourOrg
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Vishudh Women Brown Kurta,M,UK,63,C:\ITE\Higher Nitec\Capstone\Image data\images\45856.jpg,45856.jpg,236,1,Linen,Vishudh Women Brown Kurta,Brown
32138,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016,Casual,Playboy Men Blue Titanium Briefs,XXL,Singapore,28,C:\ITE\Higher Nitec\Capstone\Image data\images\32138.jpg,32138.jpg,99,5,Cotton,Playboy Men Blue Titanium Briefs,Blue
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Puma Men's Stripe Polo Black T-shirt,M,China,70,C:\ITE\Higher Nitec\Capstone\Image data\images\5891.jpg,5891.jpg,233,4,Cotton,Puma Men's Stripe Polo Black T-shirt,Black
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,Nike Women Purple Polo T-shirt,S,USA,100,C:\ITE\Higher Nitec\Capstone\Image data\images\38630.jpg,38630.jpg,34,1,Cotton,Nike Women Purple Polo T-shirt,Purple
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,XXL,Singapore,77,C:\ITE\Higher Nitec\Capstone\Image data\images\4943.jpg,4943.jpg,236,4,Cotton,Gini and Jony Boy's Kaleb White Brown Kidswear,White
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Wrangler Men Motor Rider Red T-Shirts,XL,Vietnam,33,C:\ITE\Higher Nitec\Capstone\Image data\images\10866.jpg,10866.jpg,224,5,Poly-Cotton,Wrangler Men Motor Rider Red T-Shirts,Red
59607,Women,Apparel,Saree,Sarees,Grey,Fall,2012,Ethnic,FNF Pink & Grey Wedding Collection Sari,M,USA,10,C:\ITE\Higher Nitec\Capstone\Image data\images\59607.jpg,59607.jpg,68,5,Linen,FNF Pink & Grey Wedding Collection Sari,Grey
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Scribble Black Tshirts,XXL,Singapore,86,C:\ITE\Higher Nitec\Capstone\Image data\images\15528.jpg,15528.jpg,293,1,Poly-Cotton,Puma Men Scribble Black Tshirts,Black
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012,Casual,Azure Tide Men's Aqua Stripe Shorts,S,UK,76,C:\ITE\Higher Nitec\Capstone\Image data\images\54924.jpg,54924.jpg,181,5,Cotton,Do U Speak Green Men Blue Shorts,Blue
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010,Sports,Nike Women Black T-shirt,L,Singapore,10,C:\ITE\Higher Nitec\Capstone\Image data\images\2288.jpg,2288.jpg,31,1,Polyester,Nike Women Black T-shirt,Black
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,ADIDAS Men Blue Sweatshirt,XL,China,67,C:\ITE\Higher Nitec\Capstone\Image data\images\23876.jpg,23876.jpg,53,2,Poly-Cotton,ADIDAS Men Blue Sweatshirt,Blue
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Manchester United Men Solid Red Tshirt,S,Singapore,99,C:\ITE\Higher Nitec\Capstone\Image data\images\18237.jpg,18237.jpg,127,4,Poly-Cotton,Manchester United Men Solid Red Tshirt,Red
49653,Women,Apparel,Topwear,Tops,Green,Summer,2012,Casual,Mineral Women Green Top,S,Vietnam,83,C:\ITE\Higher Nitec\Capstone\Image data\images\49653.jpg,49653.jpg,72,3,Cotton,Mineral Women Green Top,Green
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,XL,Vietnam,19,C:\ITE\Higher Nitec\Capstone\Image data\images\13419.jpg,13419.jpg,275,4,Cotton,United Colors of Benetton Men Solid Pink Polo T-shirts,Pink
17885,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016,Casual,Levis Men Comfort Style Grey Innerwear Vest Black strips,XXL,USA,40,C:\ITE\Higher Nitec\Capstone\Image data\images\17885.jpg,17885.jpg,128,2,Cotton,Levis Men Comfort Style Grey Innerwear Vest,Grey
58513,Women,Apparel,Topwear,Tops,Red,Summer,2012,Casual,Tonga Women Red Top,L,Vietnam,55,C:\ITE\Higher Nitec\Capstone\Image data\images\58513.jpg,58513.jpg,93,1,Cotton,Tonga Women Maroon Top,Off White
52029,Unisex,Apparel,Topwear,Rain Jacket,Brown,Summer,2012,Activewear,Just Natural Unisex Charcoal Rain Jacket,XL,UK,63,C:\ITE\Higher Nitec\Capstone\Image data\images\52029.jpg,52029.jpg,61,5,Polyester,Just Natural Unisex Charcoal Rain Jacket,Coffee Brown
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,ADIDAS Men's Twelve Faster T-shirt,S,Vietnam,40,C:\ITE\Higher Nitec\Capstone\Image data\images\5865.jpg,5865.jpg,193,5,Cotton,ADIDAS Men's Twelve Faster T-shirt,Black
39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012,Casual,Arrow Woman Women Blue Dress,XL,UK,31,C:\ITE\Higher Nitec\Capstone\Image data\images\39716.jpg,39716.jpg,223,1,Cotton,Arrow Woman Women Blue Dress,Blue
25349,Men,Apparel,Innerwear,Briefs,Red,Summer,2016,Casual,Levis Men Red Brief,M,USA,100,C:\ITE\Higher Nitec\Capstone\Image data\images\25349.jpg,25349.jpg,250,2,Cotton,Levis Men Red Brief,Red
55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2017,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,XXL,Singapore,22,C:\ITE\Higher Nitec\Capstone\Image data\images\55802.jpg,55802.jpg,115,4,Cotton,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,White
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Indigo Nation Men Printed Black T-shirt,XXL,USA,36,C:\ITE\Higher Nitec\Capstone\Image data\images\29584.jpg,29584.jpg,206,2,Cotton,Indigo Nation Men Printed Black T-shirt,Black
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012,Sports,Urban Yoga Women Blue Skirt With Leggings,S,China,92,C:\ITE\Higher Nitec\Capstone\Image data\images\28456.jpg,28456.jpg,214,3,Nylon,Urban Yoga Women Blue Skirt With Leggings,Blue
34009,Girls,Apparel,Topwear,Tops,Black,Summer,2012,Casual,Gini and Jony Girls Black Top,XXL,Singapore,46,C:\ITE\Higher Nitec\Capstone\Image data\images\34009.jpg,34009.jpg,271,1,Cotton,Gini and Jony Girls Black Top,Black
9694,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Classic Polo Men Vulcan White Polo Tshirts,XXL,UK,48,C:\ITE\Higher Nitec\Capstone\Image data\images\9694.jpg,9694.jpg,191,3,Poly-Cotton,Classic Polo Men Vulcan White Polo Tshirts,White
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011,Casual,Turtle Check Men Yellow Shirt,L,UK,55,C:\ITE\Higher Nitec\Capstone\Image data\images\15984.jpg,15984.jpg,67,1,Poly-Cotton,Turtle Check Men Yellow Shirt,Yellow
59297,Men,Apparel,Topwear,Shirts,White,Fall,2012,Casual,U.S. Polo Assn. Men White Shirt,XL,China,10,C:\ITE\Higher Nitec\Capstone\Image data\images\59297.jpg,59297.jpg,249,1,Poly-Cotton,U.S. Polo Assn. Men White & Navy Blue Shirt,White
28032,Men,Apparel,Innerwear,Briefs,White,Summer,2016,Casual,Jockey ELANCE Men Bikini White Brief 1005,M,Singapore,4,C:\ITE\Higher Nitec\Capstone\Image data\images\28032.jpg,28032.jpg,200,1,Cotton,Jockey ELANCE Men Bikini White Brief 1005,White
27846,Women,Apparel,Topwear,Blazers,Black,Summer,2012,Formal,Scullers For Her Charcoal Blazer,XL,Vietnam,11,C:\ITE\Higher Nitec\Capstone\Image data\images\27846.jpg,27846.jpg,225,5,Cotton,Scullers For Her Charcoal Blazer,Charcoal
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,Jealous 21 Women Black Jeans,S,China,13,C:\ITE\Higher Nitec\Capstone\Image data\images\26994.jpg,26994.jpg,79,2,Cotton,Jealous 21 Women Black Jeans,Black
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta,L,USA,50,C:\ITE\Higher Nitec\Capstone\Image data\images\54588.jpg,54588.jpg,253,4,Linen,Sushilas Women Printed Green Kurta,Green
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,S,UK,45,C:\ITE\Higher Nitec\Capstone\Image data\images\8322.jpg,8322.jpg,145,1,Poly-Cotton,Doodle Boy's Route 66 Biker Blue Teen Kidswear,Blue
7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Scullers Men  Green Check Shirt,L,China,88,C:\ITE\Higher Nitec\Capstone\Image data\images\7158.jpg,7158.jpg,60,1,Poly-Cotton,Scullers Men  Green Check Shirt,Green
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,S,Vietnam,49,C:\ITE\Higher Nitec\Capstone\Image data\images\19547.jpg,19547.jpg,298,1,Poly-Cotton,United Colors of Benetton Men Solid Blue Sweatshirt,Blue
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Puma Men's Large Logo Graphic Black T-shirt,S,Vietnam,39,C:\ITE\Higher Nitec\Capstone\Image data\images\7964.jpg,7964.jpg,196,2,Polyester,Puma Men's Large Logo Graphic Black T-shirt,Black
39140,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,2012,Ethnic,Aneri Women Black & Maroon Salwar Suit,L,USA,92,C:\ITE\Higher Nitec\Capstone\Image data\images\39140.jpg,39140.jpg,184,4,Linen,Aneri Women Black & Maroon Salwar Suit,Black
16392,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Levis Men Check Red Shirts,L,UK,39,C:\ITE\Higher Nitec\Capstone\Image data\images\16392.jpg,16392.jpg,243,2,Poly-Cotton,Levis Men Check Red Shirts,Red
51455,Women,Apparel,Topwear,Shrug,Pink,Summer,2012,Casual,Tonga Women Pink Printed Shrug,XL,USA,39,C:\ITE\Higher Nitec\Capstone\Image data\images\51455.jpg,51455.jpg,112,2,Cotton,Tonga Women Pink Printed Shrug,Pink
50587,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016,Casual,Chromozome Men Grey Briefs,XXL,Vietnam,42,C:\ITE\Higher Nitec\Capstone\Image data\images\50587.jpg,50587.jpg,66,1,Cotton,Chromozome Men Grey Briefs,Grey
17240,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,L,Vietnam,11,C:\ITE\Higher Nitec\Capstone\Image data\images\17240.jpg,17240.jpg,127,3,Poly-Cotton,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,Black
3365,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Myntra Men's Brain Black T-shirt,XXL,USA,90,C:\ITE\Higher Nitec\Capstone\Image data\images\3365.jpg,3365.jpg,96,4,Cotton,Myntra Men's Brain Black T-shirt,Black
30462,Women,Apparel,Innerwear,Bra,Black,Summer,2014,Casual,Lovable Women All Day Long Black Bra,S,China,84,C:\ITE\Higher Nitec\Capstone\Image data\images\30462.jpg,30462.jpg,39,1,Cotton,Lovable Women All Day Long Black Bra,Black
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Puma Men ducati logo tee Yellow Tshirts,M,Vietnam,4,C:\ITE\Higher Nitec\Capstone\Image data\images\10065.jpg,10065.jpg,184,1,Poly-Cotton,Puma Men ducati logo tee Yellow Tshirts,Yellow
25382,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016,Casual,Levis Men White Innerwear Vest,XXL,USA,31,C:\ITE\Higher Nitec\Capstone\Image data\images\25382.jpg,25382.jpg,190,5,Cotton,Levis Men White Innerwear Vest,White
59638,Women,Apparel,Saree,Sarees,Green,Fall,2012,Ethnic,FNF Green Wedding Collection Sari,S,Vietnam,20,C:\ITE\Higher Nitec\Capstone\Image data\images\59638.jpg,59638.jpg,195,5,Linen,FNF Green Wedding Collection Sari,Green
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011,Formal,John Miller Men Solid Type Black Trousers,L,USA,93,C:\ITE\Higher Nitec\Capstone\Image data\images\10257.jpg,10257.jpg,220,5,Linen,John Miller Men Solid Type Black Trousers,Black
24062,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012,Casual,Locomotive Men Blue Printed T-shirt,L,UK,67,C:\ITE\Higher Nitec\Capstone\Image data\images\24062.jpg,24062.jpg,259,5,Cotton,Locomotive Men Navy Blue Printed T-shirt,Navy Blue
11385,Women,Apparel,Topwear,Sweatshirts,Black,Fall,2011,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,S,Singapore,70,C:\ITE\Higher Nitec\Capstone\Image data\images\11385.jpg,11385.jpg,270,4,Poly-Cotton,United Colors Of Benetton Women Light Winter Black Sweatshirts,Black
22395,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Mark Taylor Men Striped Blue Shirt,M,China,92,C:\ITE\Higher Nitec\Capstone\Image data\images\22395.jpg,22395.jpg,74,3,Poly-Cotton,Mark Taylor Men Striped Blue Shirt,Blue
31782,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,Lee Women Paula Blue Top,L,Vietnam,61,C:\ITE\Higher Nitec\Capstone\Image data\images\31782.jpg,31782.jpg,165,2,Cotton,Lee Women Paula Blue Top,Blue
12500,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,United Colors of Benetton Men Short Black Shirts,L,Vietnam,41,C:\ITE\Higher Nitec\Capstone\Image data\images\12500.jpg,12500.jpg,257,1,Poly-Cotton,United Colors of Benetton Men Short Black Shirts,Black
30650,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Nike Men Printed Black T-shirt,XL,Singapore,32,C:\ITE\Higher Nitec\Capstone\Image data\images\30650.jpg,30650.jpg,256,4,Cotton,Nike Men Printed Black T-shirt,Black
32563,Women,Apparel,Bottomwear,Trousers,Blue,Summer,2012,Casual,ONLY Women directoire blue Trousers,XL,UK,54,C:\ITE\Higher Nitec\Capstone\Image data\images\32563.jpg,32563.jpg,226,1,Cotton,ONLY Women directoire blue Trousers,Blue
40143,Girls,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,Gini and Jony Girls Pretty Blossom Blue Top,L,USA,5,C:\ITE\Higher Nitec\Capstone\Image data\images\40143.jpg,40143.jpg,121,4,Cotton,Gini and Jony Girls Pretty Blossom Blue Top,Blue
24406,Women,Apparel,Topwear,Kurtas,Red,Summer,2012,Ethnic,Vishudh Women Red Printed Kurta,XXL,USA,7,C:\ITE\Higher Nitec\Capstone\Image data\images\24406.jpg,24406.jpg,64,4,Linen,Vishudh Women Red Printed Kurta,Red
21174,Women,Apparel,Topwear,Tops,Beige,Fall,2011,Casual,s.Oliver Women Stripes Beige Top,XXL,UK,65,C:\ITE\Higher Nitec\Capstone\Image data\images\21174.jpg,21174.jpg,43,1,Poly-Cotton,s.Oliver Women Stripes Beige Top,Beige
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,2011,Sports,Nike Women Solid Pink Shorts,S,UK,75,C:\ITE\Higher Nitec\Capstone\Image data\images\15341.jpg,15341.jpg,97,5,Polyester,Nike Women Solid Pink Shorts,Pink
52486,Women,Apparel,Innerwear,Camisoles,Maroon,Winter,2015,Casual,Red Rose Maroon Camisole,XL,Vietnam,37,C:\ITE\Higher Nitec\Capstone\Image data\images\52486.jpg,52486.jpg,289,4,Wool,Red Rose Maroon Camisole,Maroon
14293,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Classic Polo Men Stripes Blue Tshirts,XL,Singapore,43,C:\ITE\Higher Nitec\Capstone\Image data\images\14293.jpg,14293.jpg,57,5,Poly-Cotton,Classic Polo Men Stripes Blue Tshirts,Blue
6041,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,UCB Men's Polo Neck With Lion Logo Blue T-shirt,M,China,85,C:\ITE\Higher Nitec\Capstone\Image data\images\6041.jpg,6041.jpg,96,3,Cotton,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt,Navy Blue
23623,Girls,Apparel,Topwear,Tops,Pink,Fall,2011,Casual,Doodle Kids Girls Pink I love Shopping Top,M,Vietnam,82,C:\ITE\Higher Nitec\Capstone\Image data\images\23623.jpg,23623.jpg,143,5,Poly-Cotton,Doodle Kids Girls Pink I love Shopping Top,Pink
9835,Women,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Little Miss Women Printed Grey T-shirt,M,USA,47,C:\ITE\Higher Nitec\Capstone\Image data\images\9835.jpg,9835.jpg,200,4,Poly-Cotton,Little Miss Women Printed Grey T-shirt,Grey
7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,Jealous 21 Women Black Jegging,XL,UK,93,C:\ITE\Higher Nitec\Capstone\Image data\images\7193.jpg,7193.jpg,53,2,Poly-Cotton,Jealous 21 Women Black Jegging,Black
27283,Women,Apparel,Topwear,Kurtas,Purple,Fall,2011,Ethnic,Mother Earth Women Magenta Kurta,M,China,70,C:\ITE\Higher Nitec\Capstone\Image data\images\27283.jpg,27283.jpg,69,5,Linen,Mother Earth Women Magenta Kurta,Magenta
3533,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Myntra Men's If You Don't Like Black T-shirt,M,UK,38,C:\ITE\Higher Nitec\Capstone\Image data\images\3533.jpg,3533.jpg,167,5,Cotton,Myntra Men's If You Don't Like Navy Blue T-shirt,Navy Blue
12164,Women,Apparel,Topwear,Dupatta,Orange,Fall,2011,Ethnic,Aurelia Women Voile Orange Dupatta,L,Singapore,35,C:\ITE\Higher Nitec\Capstone\Image data\images\12164.jpg,12164.jpg,160,4,Linen,Aurelia Women Voile Orange Dupatta,Orange
47154,Girls,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Gini and Jony Girls Black Capris,XXL,USA,73,C:\ITE\Higher Nitec\Capstone\Image data\images\47154.jpg,47154.jpg,40,5,Cotton,Gini and Jony Girls Black Capris,Black
51031,Women,Apparel,Innerwear,Bra,White,Summer,2017,Casual,Enamor White Bra,L,UK,80,C:\ITE\Higher Nitec\Capstone\Image data\images\51031.jpg,51031.jpg,276,4,Cotton,Enamor White Bra,White
13284,Men,Apparel,Bottomwear,Shorts,Black,Fall,2011,Casual,Gini and Jony Kids Boys Solid Black Shorts,S,Vietnam,28,C:\ITE\Higher Nitec\Capstone\Image data\images\13284.jpg,13284.jpg,102,4,Poly-Cotton,Gini and Jony Kids Boys Solid Black Shorts,Black
26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012,Formal,John Miller Men Dark Grey Trousers,M,USA,22,C:\ITE\Higher Nitec\Capstone\Image data\images\26163.jpg,26163.jpg,145,1,Cotton,John Miller Men Dark Grey Trousers,Grey
3701,Women,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Tantra Women Flower Heart Black Long T-shirt,S,China,49,C:\ITE\Higher Nitec\Capstone\Image data\images\3701.jpg,3701.jpg,215,3,Cotton,Tantra Women Flower Heart Black Long T-shirt,Black
42426,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Aurelia Women Sea Green Kurta,XXL,UK,83,C:\ITE\Higher Nitec\Capstone\Image data\images\42426.jpg,42426.jpg,70,2,Linen,Aurelia Women Sea Green Kurta,Sea Green
10401,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,Jealous 21 Women Uaine Purple Tops,M,UK,70,C:\ITE\Higher Nitec\Capstone\Image data\images\10401.jpg,10401.jpg,256,5,Poly-Cotton,Jealous 21 Women Uaine Purple Tops,Purple
40371,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,M,UK,68,C:\ITE\Higher Nitec\Capstone\Image data\images\40371.jpg,40371.jpg,156,5,Cotton,Tokyo Talkies Women Navy Slim Fit Jeans,Navy Blue
37223,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,United Colors of Benetton Women Blue Top,M,Singapore,99,C:\ITE\Higher Nitec\Capstone\Image data\images\37223.jpg,37223.jpg,98,5,Cotton,United Colors of Benetton Women Blue Top,Blue
53766,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Puma Men White and Blue line T-shirt,XL,USA,48,C:\ITE\Higher Nitec\Capstone\Image data\images\53766.jpg,53766.jpg,88,2,Cotton,Puma Men White and Navy Blue T-shirt,White
25520,Girls,Apparel,Topwear,Tops,White,Fall,2011,Casual,Doodle Kids Girls City Chic White Top,L,China,69,C:\ITE\Higher Nitec\Capstone\Image data\images\25520.jpg,25520.jpg,267,1,Poly-Cotton,Doodle Kids Girls City Chic White Top,White
32597,Women,Apparel,Topwear,Tops,Black,Summer,2012,Casual,ONLY Women Black Top,S,Vietnam,52,C:\ITE\Higher Nitec\Capstone\Image data\images\32597.jpg,32597.jpg,37,4,Cotton,ONLY Women Black Top,Black
57100,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Elle Women Dark Pink Top,XL,Vietnam,34,C:\ITE\Higher Nitec\Capstone\Image data\images\57100.jpg,57100.jpg,115,5,Cotton,Elle Women Dark Pink Top,Pink
